,age,sex,height,kid_no,purchase
0,20,1,144,2,1
1,23,1,161,1,0
2,23,0,173,0,0
3,59,0,155,2,0
4,29,0,157,2,0
5,39,1,174,2,1
6,41,1,174,0,1
7,56,0,176,1,0
8,43,1,162,0,1
9,26,0,152,1,0
10,44,0,166,0,1
11,44,1,172,1,1
12,32,1,142,2,1
13,21,1,172,1,0
14,58,1,173,2,1
15,59,1,149,0,1
16,43,1,147,1,1
17,44,1,163,0,1
18,37,1,147,1,0
19,57,1,151,0,1
20,45,1,162,1,1
21,33,0,175,0,0
22,28,0,164,1,0
23,29,0,149,2,0
24,40,0,161,0,0
25,36,1,163,1,0
26,25,0,183,0,0
27,35,1,163,0,0
28,20,1,164,1,0
29,38,0,146,1,0
30,55,1,160,2,1
31,44,1,176,2,0
32,49,1,172,1,1
33,39,0,182,0,0
34,39,1,159,1,0
35,34,0,140,0,0
36,59,1,144,2,1
37,52,0,161,0,1
38,21,0,171,2,1
39,29,1,147,0,0
40,52,0,152,1,0
41,51,1,157,2,1
42,30,1,169,2,1
43,43,1,143,0,1
44,55,0,170,1,0
45,31,0,166,0,0
46,48,0,163,1,0
47,54,1,173,0,1
48,20,0,157,1,0
49,20,0,158,0,0
50,56,0,169,2,0
51,25,0,142,0,0
52,58,0,160,1,0
53,37,1,161,2,1
54,35,0,176,1,0
55,24,1,169,2,1
56,51,0,144,0,1
57,21,1,181,1,0
58,21,0,170,1,0
59,59,1,183,2,0
60,55,0,182,1,0
61,58,0,142,1,0
62,31,1,148,1,0
63,38,1,152,0,0
64,47,1,146,1,1
65,20,0,182,1,0
66,34,1,165,1,0
67,55,0,176,1,0
68,32,0,163,1,0
69,40,0,140,1,0
70,31,0,141,1,0
71,24,1,182,0,1
72,26,1,166,1,0
73,24,0,148,2,0
74,23,1,158,0,0
75,32,0,158,1,0
76,56,1,153,1,1
77,34,0,147,2,0
78,35,1,184,0,1
79,40,0,177,2,0
80,55,1,143,0,1
81,43,1,160,0,1
82,35,0,182,2,1
83,33,0,142,1,0
84,41,0,182,0,1
85,25,0,156,2,0
86,55,1,154,0,1
87,20,0,183,1,0
88,51,1,152,0,1
89,25,1,180,1,0
90,50,0,181,2,0
91,20,1,158,2,1
92,56,0,159,1,0
93,54,1,142,2,1
94,49,1,144,0,1
95,23,0,163,0,0
96,54,1,162,1,1
97,33,1,181,1,0
98,59,0,181,2,0
99,41,0,152,0,1
100,29,0,181,2,1
101,20,1,179,2,0
102,30,1,141,1,0
103,43,1,158,2,1
104,22,0,158,0,0
105,54,1,143,1,1
106,55,1,161,1,1
107,50,1,179,0,1
108,23,0,148,0,0
109,38,0,141,1,0
110,55,0,177,1,0
111,40,0,181,0,0
112,37,1,172,2,1
113,47,1,158,1,1
114,34,1,171,2,1
115,21,0,174,0,0
116,56,0,176,1,0
117,30,1,174,0,0
118,42,1,155,0,1
119,31,1,160,2,1
120,22,1,157,2,1
121,36,1,179,0,1
122,52,0,142,2,0
123,20,0,153,1,0
124,58,0,176,2,0
125,39,0,152,2,0
126,33,1,174,2,1
127,50,0,169,0,1
128,44,0,159,0,1
129,22,1,149,2,1
130,23,0,167,0,0
131,50,1,145,2,1
132,54,1,177,2,0
133,33,1,163,0,0
134,28,1,164,0,0
135,39,0,150,0,0
136,51,1,150,1,1
137,28,0,148,2,0
138,46,1,143,0,1
139,22,0,156,1,0
140,23,1,168,1,0
141,34,0,184,0,0
142,52,1,183,2,0
143,24,0,178,0,0
144,23,0,165,1,0
145,31,1,176,0,1
146,42,0,148,1,0
147,33,1,170,0,0
148,31,1,150,2,1
149,36,0,176,1,0
150,44,1,161,1,1
151,49,1,179,0,1
152,41,0,168,2,0
153,45,0,175,0,1
154,36,0,173,0,0
155,39,0,183,1,0
156,53,1,167,0,1
157,52,0,168,0,1
158,56,0,141,2,0
159,26,0,170,1,0
160,41,0,170,2,0
161,51,1,154,0,1
162,33,1,141,1,0
163,27,1,172,2,1
164,44,0,150,0,1
165,35,1,166,2,1
166,38,1,180,1,0
167,35,1,153,0,0
168,31,1,150,0,0
169,58,0,161,2,0
170,49,1,163,1,1
171,21,1,152,0,0
172,51,1,175,2,1
173,44,0,169,2,0
174,44,1,156,1,1
